
He 650	BCA-2-1-Wuhan	2025-10-14T09:44:21	time_sec	5 amu	5 amu	5 amu	5 amu	5 amu	5 amu
285.447	3.619920E-14	1.419592E-14	2.521872E-14	5.096746E-15	6.179229E-15	1.193184E-14
293.555	3.732374E-15	3.339386E-15	7.896029E-15	1.003076E-14	6.975280E-15	7.216738E-15
301.656	1.072151E-14	2.087874E-15	5.544148E-15	1.783156E-14	3.749504E-15	3.938567E-15
309.759	4.121332E-14	5.069540E-14	6.675753E-15	4.671010E-15	4.542029E-15	7.648646E-15
317.871	1.330515E-14	8.780754E-15	1.562176E-14	5.607630E-15	3.540417E-15	1.219622E-14
325.978	4.121735E-14	2.546762E-14	2.378076E-16	2.099814E-14	6.833198E-15	6.508733E-15
334.088	4.723510E-14	2.341803E-15	1.294945E-14	4.049788E-15	8.293053E-16	1.073939E-14
342.201	2.664253E-15	1.637045E-14	1.268947E-14	3.036079E-15	1.436169E-15	4.983385E-15
350.316	3.627497E-17	4.917385E-15	1.875256E-14	4.539508E-16	1.309959E-14	8.841719E-15
358.334	5.788003E-15	2.424431E-15	6.131614E-15	7.290425E-15	4.697966E-15	1.431583E-14
366.449	9.717879E-15	1.607621E-14	2.486906E-15	1.043685E-14	5.244855E-16	6.261226E-15
374.559	3.837171E-14	1.160827E-15	1.738013E-14	1.153469E-14	2.162238E-14	9.899885E-15
382.675	1.304316E-14	2.400246E-15	9.690673E-15	5.857531E-15	5.772383E-15	5.713432E-15
390.792	1.213223E-14	2.041520E-15	1.405687E-14	1.010684E-15	1.405787E-14	8.711854E-15
398.898	3.211213E-14	2.913348E-14	4.280541E-15	2.399743E-15	5.382669E-15	7.150487E-15
407.010	4.362365E-14	1.539708E-15	9.665479E-15	8.469890E-15	4.268449E-15	4.184308E-16
415.018	5.583246E-14	1.070337E-14	1.880295E-14	1.186420E-14	2.721944E-15	1.400446E-14
423.135	4.529233E-14	1.760182E-14	1.040409E-14	2.300994E-15	1.084497E-15	1.312465E-14
431.245	1.672713E-15	2.965545E-14	2.006454E-14	2.708592E-15	7.751428E-15	5.752611E-15
439.351	1.328500E-14	3.119715E-15	1.805828E-14	1.378278E-14	1.127321E-15	1.297842E-14
447.462	2.652162E-14	3.095532E-15	1.306331E-14	8.915278E-15	4.696705E-15	3.476933E-15
455.576	6.027019E-14	2.848455E-14	1.691257E-14	1.017536E-14	1.659240E-14	6.276592E-15
463.681	3.374857E-14	6.467169E-15	2.857322E-14	3.568630E-15	1.438057E-14	6.611513E-15
471.789	5.787599E-14	6.658620E-15	2.162641E-14	4.452852E-15	6.066118E-15	4.865488E-15
479.798	6.440966E-15	8.972208E-15	6.735205E-15	2.099461E-15	1.001111E-14	1.282311E-14
487.913	3.306336E-14	3.076993E-14	1.108427E-14	5.872141E-15	9.009493E-15	1.351525E-15
496.018	6.307553E-14	2.946803E-14	4.375263E-15	1.285825E-14	3.672418E-15	4.149924E-15
504.131	3.510689E-15	5.729558E-15	3.687031E-15	9.885151E-16	1.080741E-14	4.403604E-15
512.235	1.019349E-14	1.536279E-14	2.316612E-15	1.325376E-14	1.705616E-14	9.238988E-15
520.351	1.435311E-14	8.635650E-15	2.327696E-14	7.104034E-16	2.368757E-15	1.038571E-14
528.466	4.102790E-14	1.524591E-14	7.073778E-15	2.977485E-14	8.549245E-15	3.424410E-15
536.572	3.185819E-14	1.338980E-14	2.623945E-15	2.934308E-15	1.310211E-14	2.623445E-15
544.584	6.904490E-15	1.680174E-14	7.422428E-15	6.139172E-15	1.602836E-14	4.408640E-15
552.690	6.426860E-14	2.422013E-14	9.080031E-15	2.249954E-14	2.625712E-15	6.093575E-15
560.803	1.736804E-14	4.016536E-15	1.889364E-15	3.593821E-15	5.153176E-15	4.377909E-15
568.912	2.757765E-14	2.215443E-14	1.608730E-14	7.268255E-15	8.997403E-15	7.712133E-15
577.024	7.257977E-14	1.085250E-14	2.693478E-15	6.855620E-15	1.521089E-14	2.713630E-15
585.132	6.485304E-15	4.607427E-14	5.704366E-15	3.088933E-14	5.800849E-15	5.280646E-15
593.346	2.829914E-14	5.787599E-14	1.518645E-14	2.800289E-14	1.012145E-14	5.192602E-15
601.258	2.924231E-14	2.455669E-14	1.612559E-14	3.431591E-15	1.631553E-14	1.240430E-14
609.364	2.573162E-14	3.331930E-14	1.738213E-15	1.173874E-14	1.090541E-15	3.118206E-15
617.469	1.156794E-14	2.227938E-14	1.720178E-14	1.808247E-15	9.635753E-15	1.112948E-14
625.575	3.443378E-14	7.559472E-15	1.554619E-14	1.339634E-14	1.095504E-14	1.027474E-14
633.683	9.427673E-15	2.317821E-14	1.529024E-14	6.233891E-15	9.234702E-15	1.333009E-14
641.794	3.194284E-14	1.063888E-14	6.735203E-15	1.347242E-14	2.743104E-15	5.022558E-15
649.910	7.597761E-15	5.459506E-15	1.884023E-14	1.309253E-14	6.706232E-15	5.321707E-15
658.020	8.016947E-15	2.055023E-14	2.027412E-15	2.137247E-15	1.383845E-14	2.602536E-15
666.026	4.106418E-14	7.299494E-15	3.998397E-15	2.181938E-14	2.765524E-15	7.953593E-15
674.133	6.057653E-14	4.258373E-15	8.021985E-15	5.702854E-15	3.269858E-15	6.397512E-15
682.241	1.074972E-14	1.850065E-14	3.054723E-14	1.789103E-15	3.222247E-15	1.374008E-14
690.344	8.911750E-15	5.392999E-15	3.395514E-14	1.027109E-14	9.183568E-15	7.679003E-15
